Generation,Best Fitness,Average Fitness
0,0.004375,0.4375
1,0,0
2,0,0
3,0,0
4,0.004375,0.4375
5,0,0
6,0,0
7,0,0
8,0,0
9,0.0125,0.625
10,0,0
11,0,0
12,0,0
13,0.005625,0.5625
14,0,0
15,0.004375,0.4375
16,0,0
17,0,0
18,0,0
19,0,0
20,0.00625,0.625
21,0.036875,0.625
22,0.07375,0.625
23,0.140625,0.625
24,0.32,0.625
25,0.47625,0.625
26,0.416875,0.6875
27,0.454375,0.75
28,0.49,0.75
29,0.535,0.75
30,0.591875,0.75
31,0.578125,0.875
32,0.54625,0.875
33,0.5275,0.75
34,0.570625,0.875
35,0.545,0.875
36,0.6475,0.875
37,0.56875,0.875
38,0.61,0.875
39,0.655,0.875
40,0.65625,1
41,0.59875,1
42,0.71,1
43,0.721875,1
44,0.763125,1
45,0.751875,1
46,0.77125,1
47,0.76,1
48,0.776875,1
49,0.79,1
50,0.775,1
51,0.77625,1
52,0.768125,1
53,0.84875,1
54,0.779375,1
55,0.835,1
56,0.824375,1
57,0.894375,1
58,0.793125,1
59,0.87625,1
60,0.814375,1
61,0.7925,1
62,0.845625,1
63,0.831875,1
64,0.8325,1
65,0.8225,1
66,0.77875,1
67,0.819375,1
68,0.885,1
69,0.865,1
70,0.81875,1
71,0.820625,1
72,0.88,1
73,0.816875,1
74,0.815625,1
75,0.83875,1
76,0.845625,1
77,0.821875,1
78,0.781875,1
79,0.81625,1
80,0.845,1
81,0.851875,1
82,0.8,1
83,0.838125,1
84,0.80625,1
85,0.778125,1
86,0.84875,1
87,0.8475,1
88,0.775625,1
89,0.73,1
90,0.85125,1
91,0.79,1
92,0.834375,1
93,0.815625,1
94,0.744375,1
95,0.8825,1
96,0.78625,1
97,0.773125,1
98,0.7825,1
99,0.776875,1
